date,1. open,2. high,3. low,4. close,5. volume
2021-10-01 04:49:00,279.8,279.8,279.8,279.8,641.0
2021-10-01 04:48:00,279.82,279.82,279.82,279.82,208.0
2021-10-01 04:45:00,279.97,280.09,279.97,280.09,404.0
2021-10-01 04:41:00,279.96,279.96,279.78,279.78,1561.0
2021-10-01 04:39:00,280.0,280.0,280.0,280.0,413.0
2021-10-01 04:37:00,280.0,280.0,280.0,280.0,151.0
2021-10-01 04:33:00,280.05,280.05,280.05,280.05,243.0
2021-10-01 04:30:00,280.21,280.21,280.21,280.21,297.0
2021-10-01 04:25:00,279.9,279.9,279.9,279.9,720.0
2021-10-01 04:24:00,279.67,279.67,279.67,279.67,372.0
2021-10-01 04:22:00,279.64,279.64,279.64,279.64,175.0
2021-10-01 04:21:00,279.64,279.64,279.64,279.64,404.0
2021-10-01 04:18:00,279.7,279.7,279.7,279.7,250.0
2021-10-01 04:16:00,279.78,279.78,279.78,279.78,371.0
2021-10-01 04:13:00,279.7,279.72,279.7,279.72,508.0
2021-10-01 04:12:00,280.0,280.0,279.7,279.7,4036.0
2021-10-01 04:09:00,280.08,280.08,280.08,280.08,230.0
2021-10-01 04:08:00,280.1,280.1,280.1,280.1,411.0
2021-10-01 04:07:00,280.29,280.29,280.2,280.2,1076.0
2021-10-01 04:04:00,280.42,280.46,280.42,280.46,713.0
2021-10-01 04:03:00,280.54,280.54,280.54,280.54,121.0
2021-10-01 04:02:00,280.59,280.59,280.2,280.2,1216.0
2021-10-01 04:01:00,280.31,280.99,280.05,280.1,6209.0
2021-09-30 20:00:00,282.22,282.22,282.22,282.22,314.0
2021-09-30 19:58:00,282.4,282.42,282.4,282.4,610.0
2021-09-30 19:49:00,282.51,282.51,282.5,282.5,875.0
2021-09-30 19:48:00,282.5,282.5,282.5,282.5,150.0
2021-09-30 19:46:00,282.45,282.45,282.45,282.45,366.0
2021-09-30 19:45:00,282.4,282.4,282.4,282.4,145.0
2021-09-30 19:40:00,282.38,282.38,282.38,282.38,118.0
2021-09-30 19:38:00,282.53,282.53,282.53,282.53,153.0
2021-09-30 19:36:00,282.5,282.5,282.5,282.5,262.0
2021-09-30 19:35:00,282.45,282.6,282.45,282.51,455.0
2021-09-30 19:33:00,282.6,282.6,282.6,282.6,208.0
2021-09-30 19:30:00,282.6,282.6,282.6,282.6,301.0
2021-09-30 19:29:00,282.2401,282.2401,282.2401,282.2401,285.0
2021-09-30 19:26:00,282.69,282.69,282.69,282.69,600.0
2021-09-30 19:23:00,282.5,282.6,282.5,282.6,332.0
2021-09-30 19:21:00,282.6,282.6,282.6,282.6,773.0
2021-09-30 19:20:00,282.57,282.57,282.57,282.57,435.0
2021-09-30 19:14:00,282.55,282.59,282.55,282.59,780.0
2021-09-30 19:13:00,282.49,282.49,282.49,282.49,370.0
2021-09-30 19:11:00,282.38,282.4,282.37,282.4,871.0
2021-09-30 19:07:00,282.32,282.32,282.32,282.32,341.0
2021-09-30 19:01:00,282.4,282.4,282.4,282.4,750.0
2021-09-30 18:57:00,282.2,282.2,282.2,282.2,210.0
2021-09-30 18:52:00,282.17,282.29,282.17,282.29,336.0
2021-09-30 18:50:00,282.29,282.29,282.29,282.29,498.0
2021-09-30 18:45:00,282.33,282.33,282.33,282.33,257.0
2021-09-30 18:35:00,282.2,282.2,282.2,282.2,195.0
2021-09-30 18:34:00,282.2,282.2,282.2,282.2,1000.0
2021-09-30 18:33:00,282.1,282.1,282.1,282.1,200.0
2021-09-30 18:31:00,282.2,282.2,282.2,282.2,346.0
2021-09-30 18:29:00,282.1,282.1,282.1,282.1,205.0
2021-09-30 18:28:00,282.09,282.09,282.01,282.01,756.0
2021-09-30 18:27:00,282.11,282.11,282.05,282.05,582.0
2021-09-30 18:21:00,282.25,282.25,282.04,282.04,665.0
2021-09-30 18:19:00,282.37,282.37,282.37,282.37,105.0
2021-09-30 18:18:00,282.5,282.5,282.44,282.44,597.0
2021-09-30 18:13:00,282.4101,282.4101,282.4101,282.4101,288.0
2021-09-30 18:12:00,282.63,282.63,282.63,282.63,650.0
2021-09-30 18:11:00,282.49,282.69,282.42,282.42,515.0
2021-09-30 18:10:00,282.35,282.35,282.35,282.35,777.0
2021-09-30 18:09:00,282.19,282.2,282.19,282.2,1686.0
2021-09-30 18:08:00,282.18,282.19,282.18,282.19,1015.0
2021-09-30 18:07:00,282.19,282.19,282.19,282.19,502.0
2021-09-30 18:04:00,281.94,281.94,281.94,281.94,100.0
2021-09-30 18:03:00,282.2,282.2,282.2,282.2,556.0
2021-09-30 18:01:00,282.11,282.11,282.11,282.11,168.0
2021-09-30 18:00:00,282.11,282.11,282.11,282.11,365.0
2021-09-30 17:57:00,282.11,282.11,282.11,282.11,239.0
2021-09-30 17:56:00,282.11,282.11,282.11,282.11,211.0
2021-09-30 17:53:00,282.07,282.07,282.07,282.07,316.0
2021-09-30 17:52:00,282.0,282.0,282.0,282.0,216.0
2021-09-30 17:51:00,282.0,282.0,282.0,282.0,589.0
2021-09-30 17:46:00,282.08,282.08,282.08,282.08,126.0
2021-09-30 17:44:00,282.0001,282.0001,282.0001,282.0001,538.0
2021-09-30 17:42:00,282.08,282.08,282.08,282.08,513.0
2021-09-30 17:35:00,282.02,282.02,282.02,282.02,199.0
2021-09-30 17:32:00,282.0,282.02,282.0,282.02,783.0
2021-09-30 17:31:00,281.97,281.97,281.97,281.97,332.0
2021-09-30 17:29:00,281.94,281.97,281.9227,281.9227,1023.0
2021-09-30 17:27:00,281.94,281.94,281.94,281.94,264.0
2021-09-30 17:26:00,281.95,281.95,281.95,281.95,137.0
2021-09-30 17:25:00,281.95,281.95,281.95,281.95,261.0
2021-09-30 17:20:00,281.92,281.92,281.92,281.92,222.0
2021-09-30 17:16:00,281.9201,281.9201,281.9201,281.9201,326.0
2021-09-30 17:13:00,281.92,281.92,281.86,281.86,1471.0
2021-09-30 17:12:00,282.0,282.0,281.92,281.92,649.0
2021-09-30 17:11:00,281.95,281.95,281.95,281.95,610.0
2021-09-30 17:07:00,282.02,282.02,282.02,282.02,53754.0
2021-09-30 17:06:00,282.02,282.02,282.02,282.02,789.0
2021-09-30 17:05:00,281.94,281.94,281.94,281.94,836.0
2021-09-30 17:01:00,281.93,281.94,281.93,281.94,620.0
2021-09-30 16:59:00,281.94,281.94,281.94,281.94,215.0
2021-09-30 16:58:00,281.86,281.86,281.86,281.86,258.0
2021-09-30 16:55:00,281.86,281.86,281.86,281.86,314.0
2021-09-30 16:54:00,281.95,281.95,281.94,281.94,370.0
2021-09-30 16:52:00,281.86,281.86,281.86,281.86,213.0
2021-09-30 16:50:00,281.9,281.9,281.9,281.9,976.0
2021-09-30 16:49:00,281.89,281.9,281.89,281.9,671.0
2021-09-30 16:48:00,281.9,281.9,281.9,281.9,557.0
2021-09-30 16:44:00,281.92,281.92,281.92,281.92,355.0
2021-09-30 16:43:00,281.92,281.92,281.92,281.92,598.0
2021-09-30 16:42:00,281.9199,281.9199,281.9199,281.9199,358.0
2021-09-30 16:40:00,281.9,281.92,281.9,281.92,547.0
2021-09-30 16:39:00,281.94,281.94,281.85,281.92,2708.0
2021-09-30 16:38:00,282.02,282.02,281.96,281.96,694.0
2021-09-30 16:37:00,282.02,282.02,282.02,282.02,544.0
2021-09-30 16:36:00,282.0,282.01,282.0,282.01,346.0
2021-09-30 16:35:00,281.9,281.9,281.9,281.9,265.0
2021-09-30 16:34:00,281.86,281.86,281.86,281.86,669.0
2021-09-30 16:33:00,281.98,281.98,281.9,281.9,1772.0
2021-09-30 16:32:00,282.04,282.04,282.04,282.04,213.0
2021-09-30 16:31:00,282.05,282.09,282.0,282.0,2310.0
2021-09-30 16:30:00,282.05,282.05,282.05,282.05,582.0
2021-09-30 16:28:00,282.06,282.06,282.06,282.06,463.0
2021-09-30 16:27:00,282.0,282.08,281.97,281.97,2469.0
2021-09-30 16:26:00,282.01,282.01,281.97,281.97,1527.0
2021-09-30 16:25:00,282.1,282.1,282.0,282.0,2441.0
2021-09-30 16:24:00,282.1,282.1,282.01,282.09,3807.0
2021-09-30 16:23:00,282.07,282.12,282.06,282.11,2459.0
2021-09-30 16:22:00,282.05,282.12,282.05,282.12,1099.0
2021-09-30 16:21:00,282.06,282.1,281.92,282.05,6823.0
2021-09-30 16:20:00,282.06,282.1,282.06,282.1,549.0
2021-09-30 16:19:00,282.09,282.11,281.92,281.92,5716.0
2021-09-30 16:18:00,282.12,282.12,282.08,282.11,6789.0
2021-09-30 16:17:00,282.0,282.03,282.0,282.03,551.0
2021-09-30 16:16:00,282.04,282.15,281.97,282.03,7190.0
2021-09-30 16:15:00,282.01,282.01,281.92,282.0,51015.0
2021-09-30 16:13:00,282.02,282.06,282.01,282.05,4177.0
2021-09-30 16:12:00,281.95,281.95,281.9,281.9,10162.0
2021-09-30 16:11:00,281.96,281.96,281.92,281.95,21387.0
2021-09-30 16:10:00,281.92,282.01,281.92,281.99,8939.0
2021-09-30 16:08:00,282.04,282.04,282.0,282.0,6439.0
2021-09-30 16:07:00,282.18,282.18,281.92,282.1,19778.0
2021-09-30 16:06:00,281.92,282.04,281.92,282.04,133512.0
2021-09-30 16:05:00,281.92,281.92,281.92,281.92,497750.0
2021-09-30 16:04:00,281.92,281.93,281.92,281.92,168268.0
2021-09-30 16:03:00,281.92,281.92,281.74,281.75,12003.0
2021-09-30 16:02:00,282.17,282.17,281.92,282.0,65432.0
2021-09-30 16:01:00,281.92,282.88,281.75,282.1,514868.0
